Nº de séquence;Date d'exécution;Date valeur;Montant;Devise du compte;CONTREPARTIE DE LA TRANSACTION;Détails;Numéro de compte
2021-;29/11/2021;29/11/2021;-120.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 29/11/2021;BE12345678912345
2021-;27/11/2021;27/11/2021;80.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 27/11/2021;BE12345678912345
2021-;12/11/2021;12/11/2021;-300.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 12/11/2021;BE12345678912345
2021-;04/11/2021;04/11/2021;-35.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 04/11/2021;BE12345678912345
2021-;31/10/2021;31/10/2021;2000.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 31/10/2021;BE12345678912345
2021-;29/10/2021;29/10/2021;-120.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 29/10/2021;BE12345678912345
2021-;16/10/2021;16/10/2021;-430.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 16/10/2021;BE12345678912345
2021-;10/10/2021;10/10/2021;50.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 10/10/2021;BE12345678912345
2021-;02/10/2021;02/10/2021;-110.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 02/10/2021;BE12345678912345
2021-;30/09/2021;30/09/2021;2000.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 30/09/2021;BE12345678912345
2021-;29/09/2021;29/09/2021;-120.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 29/09/2021;BE12345678912345
2021-;15/09/2021;15/09/2021;-1320.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 15/09/2021;BE12345678912345
2021-;12/09/2021;12/09/2021;-222.22;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 12/09/2021;BE12345678912345
2021-;09/09/2021;09/09/2021;-1250.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 09/09/2021;BE12345678912345
2021-;31/08/2021;31/08/2021;2000.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 31/08/2021;BE12345678912345
2021-;29/08/2021;29/08/2021;-120.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 29/08/2021;BE12345678912345
2021-;21/08/2021;21/08/2021;-1200.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 21/11/2021;BE12345678912345
2021-;13/08/2021;13/08/2021;120.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 13/08/2021;BE12345678912345
2021-;08/08/2021;08/08/2021;-110.00;EUR;BE12345678912345;BE12 1234 1234 1234 BIC QWERTYUI VIA WEB BANKING JOHN SMITH COMMUNICATION : NONE REFERENCE BANQUE : 12345678912345678 DATE VALEUR : 08/08/2021;BE12345678912345
